epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7606,1.45756,2.90198,1.12647,0.00727,0.875,0.4516,0.28361,1.31717,3.21148,1.06549,0.00026,0.00026,0.00026
2,31.4723,1.43987,1.80917,1.1363,0.00743,0.89474,0.15353,0.10377,1.29845,3.26912,1.1134,0.000529308,0.000529308,0.000529308
3,36.7526,1.48843,1.68833,1.22902,0.45049,0.02176,0.04834,0.02412,1.45018,3.39559,1.25376,0.000787528,0.000787528,0.000787528
4,41.418,1.4379,1.56248,1.18778,0.33067,0.11842,0.11116,0.05892,1.47913,3.2004,1.24879,0.00103466,0.00103466,0.00103466
5,48.2791,1.43413,1.54219,1.18949,0.20085,0.18189,0.10782,0.0543,1.61771,2.97986,1.32244,0.0012707,0.0012707,0.0012707
6,54.7799,1.54297,1.58707,1.22382,0.14227,0.21711,0.1002,0.04792,1.56333,2.87159,1.38795,0.00149566,0.00149566,0.00149566
7,59.6548,1.52479,1.58955,1.25527,0.10996,0.26316,0.07933,0.04058,1.56806,3.19644,1.39382,0.00170953,0.00170953,0.00170953
8,66.4512,1.4276,1.40783,1.19533,0.48729,0.44737,0.4441,0.26243,1.56462,2.2261,1.37352,0.0017228,0.0017228,0.0017228
9,71.3561,1.48036,1.41985,1.2337,0.63932,0.59868,0.59126,0.32586,1.62423,1.88327,1.40589,0.0016832,0.0016832,0.0016832
10,75.9952,1.36361,1.30113,1.17703,0.68194,0.55263,0.59423,0.3119,1.76765,1.81022,1.54677,0.0016436,0.0016436,0.0016436
11,82.8865,1.38392,1.25252,1.13903,0.60485,0.64474,0.61279,0.29453,1.69343,1.70478,1.47593,0.001604,0.001604,0.001604
12,87.5953,1.37708,1.22719,1.17914,0.83361,0.59332,0.72686,0.3724,1.59197,1.47337,1.3547,0.0015644,0.0015644,0.0015644
13,92.6732,1.40396,1.21404,1.18856,0.81061,0.60526,0.72837,0.39675,1.47251,1.44717,1.33316,0.0015248,0.0015248,0.0015248
14,99.7607,1.35624,1.15734,1.1501,0.70769,0.60525,0.70335,0.41437,1.46191,1.45906,1.23468,0.0014852,0.0014852,0.0014852
15,104.278,1.38508,1.20084,1.13562,0.67685,0.7717,0.78804,0.43682,1.42793,1.23693,1.24155,0.0014456,0.0014456,0.0014456
16,109.057,1.2766,1.14219,1.12668,0.78015,0.68421,0.80303,0.4882,1.39407,1.19053,1.23041,0.001406,0.001406,0.001406
17,115.934,1.29647,1.11368,1.11524,0.87693,0.76974,0.86533,0.49436,1.3741,1.14216,1.24366,0.0013664,0.0013664,0.0013664
18,120.522,1.31475,1.07705,1.13759,0.69127,0.67761,0.77897,0.44262,1.4374,1.30738,1.22945,0.0013268,0.0013268,0.0013268
